TRANSACTION_TYPE;TRANSACTION_DATE;TRANSACTION_REFERENCE;MERCHANT;TOTAL
"Individual GPC";"01/04/2014";"PCCL1714923";"R.S.J.RESTAURANT LTD";"1255.28"
"Individual GPC";"02/04/2014";"PCCL1714708";"THE GENERAL COUNCIL OF THE BAR";"655.0"
"Individual GPC";"03/04/2014";"PCCL1714877";"CIVIL SERVICE LEARNING";"865.2"
"Individual GPC";"05/04/2014";"PCCL1715838";"BANNER BUSINESS SERVICES LTD";"741.95"
"Individual GPC";"06/04/2014";"PCCL1715904";"MSFT ONLINE";"575.64"
"Individual GPC";"08/04/2014";"PCCL1715654";"MCIPCO2";"989.87"
"Individual GPC";"09/04/2014";"PCCL1715620";"ONLINE ERGONOMICS LTD";"958.5"
"Lodged GPC";"03/04/2014";"494045612";"HOGG ROBINSON GROUP LTD";"2967.95"
"Lodged GPC";"03/04/2014";"494045614";"HOGG ROBINSON GROUP LTD";"2967.95"
"Lodged GPC";"04/04/2014";"494045402";"HOGG ROBINSON GROUP LTD";"-5035.75"
"Lodged GPC";"04/04/2014";"494045618";"HOGG ROBINSON GROUP LTD";"924.5"
"Lodged GPC";"07/04/2014";"494365057";"HOGG ROBINSON GROUP LTD";"-5314.75"
"Lodged GPC";"08/04/2014";"495181145";"HOGG ROBINSON GROUP LTD";"522.2"
"Lodged GPC";"10/04/2014";"495181305";"HOGG ROBINSON GROUP LTD";"-5314.75"
"Lodged GPC";"10/04/2014";"495181311";"HOGG ROBINSON GROUP LTD";"-5093.85"
"Lodged GPC";"10/04/2014";"495181312";"HOGG ROBINSON GROUP LTD";"-5093.85"
"Lodged GPC";"10/04/2014";"496598455";"HOGG ROBINSON GROUP LTD";"-2349.75"
"Lodged GPC";"10/04/2014";"495181307";"HOGG ROBINSON GROUP LTD";"-2032.95"
"Lodged GPC";"10/04/2014";"496601313";"HOGG ROBINSON GROUP LTD";"686.4"
"Lodged GPC";"10/04/2014";"495627768";"HOGG ROBINSON GROUP LTD";"997.95"
"Lodged GPC";"10/04/2014";"495627767";"HOGG ROBINSON GROUP LTD";"997.95"
"Lodged GPC";"14/04/2014";"496270913";"HOGG ROBINSON GROUP LTD";"770.72"
"Lodged GPC";"14/04/2014";"496128417";"HOGG ROBINSON GROUP LTD";"4363.45"
"Lodged GPC";"14/04/2014";"496128418";"HOGG ROBINSON GROUP LTD";"4363.45"
"Lodged GPC";"16/04/2014";"497233133";"HOGG ROBINSON GROUP LTD";"501.32"
"Lodged GPC";"16/04/2014";"497233210";"HOGG ROBINSON GROUP LTD";"564.33"
"Lodged GPC";"22/04/2014";"497473308";"HOGG ROBINSON GROUP LTD";"1540.95"
"Lodged GPC";"24/04/2014";"498445698";"HOGG ROBINSON GROUP LTD";"560.87"
"Lodged GPC";"24/04/2014";"498445706";"HOGG ROBINSON GROUP LTD";"710.25"
"Lodged GPC";"24/04/2014";"498445705";"HOGG ROBINSON GROUP LTD";"713.99"
"Lodged GPC";"25/04/2014";"498189853";"HOGG ROBINSON GROUP LTD";"-2760.3"
"Lodged GPC";"25/04/2014";"498189852";"HOGG ROBINSON GROUP LTD";"-2760.3"
"Lodged GPC";"25/04/2014";"498449913";"HOGG ROBINSON GROUP LTD";"1086.55"
"Lodged GPC";"28/04/2014";"498757412";"HOGG ROBINSON GROUP LTD";"554.4"
"Lodged GPC";"28/04/2014";"498444956";"HOGG ROBINSON GROUP LTD";"611.0"
"Lodged GPC";"28/04/2014";"498757411";"HOGG ROBINSON GROUP LTD";"723.4"
"Lodged GPC";"29/04/2014";"499349566";"HOGG ROBINSON GROUP LTD";"518.97"
"Individual GPC";"04/03/2014";"PCCL1714147";"BANNER BUSINESS SERVICES LTD";"761.77"
"Individual GPC";"04/03/2014";"PCCL1714486";"CENTRAL HALL WESTMINSTER";"1000.0"
"Individual GPC";"05/03/2014";"PCCL1714960";"THE LONDON EYE";"792.5"
"Individual GPC";"05/03/2014";"PCCL1715201";"ENHANCED VISION EUROPE";"2034.0"
"Individual GPC";"11/03/2014";"PCCL1714954";"SHERATON HANNOVER PELIKAN HOTEL";"958.15"
"Individual GPC";"11/03/2014";"PCCL1715046";"B.T. BUSINESS DIRECT LTD";"2606.25"
"Individual GPC";"17/03/2014";"PCCL1714956";"EMIRATES TOWERS, DUBAI";"852.53"
"Individual GPC";"18/03/2014";"PCCL1715493";"LYRECO UK LTD";"699.7"
"Individual GPC";"26/03/2014";"PCCL1714705";"THE GENERAL COUNCIL OF THE BAR";"755.0"
"Individual GPC";"27/03/2014";"PCCL1714831";"CIVIL SERVICE LEARNING";"902.4"
"Individual GPC";"27/03/2014";"PCCL1715047";"B.T. BUSINESS DIRECT LTD";"1315.51"
"Lodged GPC";"04/03/2014";"487038191";"HOGG ROBINSON GROUP LTD";"540.3"
"Lodged GPC";"04/03/2014";"487033021";"HOGG ROBINSON GROUP LTD";"1891.85"
"Lodged GPC";"06/03/2014";"487789879";"HOGG ROBINSON GROUP LTD";"1829.85"
"Lodged GPC";"06/03/2014";"487789877";"HOGG ROBINSON GROUP LTD";"3145.95"
"Lodged GPC";"06/03/2014";"487789878";"HOGG ROBINSON GROUP LTD";"3145.95"
"Lodged GPC";"07/03/2014";"488336944";"HOGG ROBINSON GROUP LTD";"657.37"
"Lodged GPC";"10/03/2014";"488331560";"HOGG ROBINSON GROUP LTD";"618.2"
"Lodged GPC";"10/03/2014";"488331561";"HOGG ROBINSON GROUP LTD";"618.2"
"Lodged GPC";"10/03/2014";"488338941";"HOGG ROBINSON GROUP LTD";"2741.2"
"Lodged GPC";"10/03/2014";"488338942";"HOGG ROBINSON GROUP LTD";"2741.2"
"Lodged GPC";"10/03/2014";"488333252";"HOGG ROBINSON GROUP LTD";"4703.05"
"Lodged GPC";"10/03/2014";"488333253";"HOGG ROBINSON GROUP LTD";"4703.05"
"Lodged GPC";"11/03/2014";"489370781";"HOGG ROBINSON GROUP LTD";"4381.97"
"Lodged GPC";"11/03/2014";"489370782";"HOGG ROBINSON GROUP LTD";"4381.97"
"Lodged GPC";"12/03/2014";"488910455";"HOGG ROBINSON GROUP LTD";"560.0"
"Lodged GPC";"12/03/2014";"488910453";"HOGG ROBINSON GROUP LTD";"560.0"
"Lodged GPC";"12/03/2014";"488910454";"HOGG ROBINSON GROUP LTD";"560.0"
"Lodged GPC";"13/03/2014";"489648428";"HOGG ROBINSON GROUP LTD";"507.5"
"Lodged GPC";"13/03/2014";"489370856";"HOGG ROBINSON GROUP LTD";"527.1"
"Lodged GPC";"13/03/2014";"489367170";"HOGG ROBINSON GROUP LTD";"588.9"
"Lodged GPC";"13/03/2014";"489367172";"HOGG ROBINSON GROUP LTD";"1077.95"
"Lodged GPC";"17/03/2014";"489919785";"HOGG ROBINSON GROUP LTD";"549.9"
"Lodged GPC";"17/03/2014";"489648452";"HOGG ROBINSON GROUP LTD";"872.55"
"Lodged GPC";"17/03/2014";"489648453";"HOGG ROBINSON GROUP LTD";"872.55"
"Lodged GPC";"17/03/2014";"489919786";"HOGG ROBINSON GROUP LTD";"962.9"
"Lodged GPC";"17/03/2014";"489919787";"HOGG ROBINSON GROUP LTD";"962.9"
"Lodged GPC";"20/03/2014";"490944646";"HOGG ROBINSON GROUP LTD";"625.9"
"Lodged GPC";"20/03/2014";"490944647";"HOGG ROBINSON GROUP LTD";"625.9"
"Lodged GPC";"24/03/2014";"491492528";"HOGG ROBINSON GROUP LTD";"4176.25"
"Lodged GPC";"27/03/2014";"492528736";"HOGG ROBINSON GROUP LTD";"723.8"
"Lodged GPC";"27/03/2014";"492528735";"HOGG ROBINSON GROUP LTD";"723.8"
"Lodged GPC";"27/03/2014";"492528728";"HOGG ROBINSON GROUP LTD";"4176.25"
"Lodged GPC";"28/03/2014";"492797009";"HOGG ROBINSON GROUP LTD";"721.31"
"Lodged GPC";"28/03/2014";"492528977";"HOGG ROBINSON GROUP LTD";"2038.55"
"Lodged GPC";"31/03/2014";"493351517";"HOGG ROBINSON GROUP LTD";"515.04"
"Lodged GPC";"31/03/2014";"493088521";"HOGG ROBINSON GROUP LTD";"1165.85"
